activity,recording,windowStart,windowEnd,samples,target,accelMagnitudeStd,gyroMagnitudeStd,accelMagnitudeRange,gyroMagnitudeRange,meanAccelJerk,maxAccelJerk,dominantAccelFrequency,dominantFrequencyPowerRatio,motionBandPower,accelRegularity
WALKING_IN_PLACE,3,19.0,21.0,34,1,0.18865027785730965,44.295563894247266,0.67,170.92999999999998,1.8198419314007048,4.406779661016871,1.4780531501940888,0.4351494910526119,18.029329159315665,0.4089923041903729
WALKING_IN_PLACE,3,21.0,23.0,33,1,0.15249320688177306,35.91141862293215,0.6000000000000001,149.60999999999999,2.005027438177265,4.754098360655741,1.5238820896233163,0.4118330026830929,8.621485989569925,0.3502664998096173
WALKING_IN_PLACE,3,23.0,25.0,34,1,0.13326515702209848,39.535430442757516,0.44000000000000006,139.26,1.7465527741993334,4.406779661016873,1.4788038120276035,0.7119329845584313,6.354490534334449,0.5605946734736971
WALKING_IN_PLACE,3,25.0,27.0,33,1,0.1308276963569563,36.79291944648829,0.43000000000000005,134.39999999999998,1.6255383439844466,4.333333333333168,1.5254802879344043,0.8288846543823193,6.660847134567901,0.33756634762579224
WALKING_IN_PLACE,3,27.0,29.0,34,1,0.14800197557832295,36.64445875489835,0.54,120.96000000000001,1.5195593051942005,3.8333333333334147,1.4803074254612885,0.4801130792746613,9.752709275295096,0.39660124111172734
WALKING_IN_PLACE,3,29.0,31.0,33,1,0.1449562170686388,39.93179275164043,0.6400000000000001,126.13,1.6972712327498471,5.000000000000106,1.5238820896233163,0.6758604730430793,9.244244472628013,0.36389830903518267
ARM_SWING,1,1.0,3.0,34,0,0.09112901991076275,29.510202317680744,0.33999999999999997,117.08,0.6651730631859208,2.2033898305084705,1.490918948224451,0.7232328791640179,4.004898262929066,0.20364950980392146
ARM_SWING,1,3.0,5.0,34,0,0.08557357869250425,26.77474460896747,0.35,99.94,0.680227169414779,1.8644067796610115,1.490918948224451,0.6805868982866689,3.1671649073302923,0.1275950535201558
ARM_SWING,1,5.0,7.0,34,0,0.10803369972752305,27.34689679579498,0.34999999999999987,86.63999999999999,0.6936991185968394,1.694915254237285,1.490918948224451,0.6961714514234146,5.600640931410621,0.2591217453480058
ARM_SWING,1,7.0,9.0,33,0,0.08959043632549031,31.506404835179154,0.35,95.81,0.7962935904928874,2.0338983050847075,1.5335218287247807,0.48983431667214666,4.085748828102449,0.05542658878737944
ARM_SWING,1,9.0,11.0,34,0,0.11995241270970289,31.466364863669334,0.3799999999999999,99.81,0.7958121712085934,2.8333333333333104,1.4893937114487739,0.8014940729262497,6.388880352414973,0.13255063225780864
ARM_SWING,1,11.0,13.0,34,0,0.12431438269140314,35.04462064386865,0.47,117.97,0.7765291724964435,2.7118644067796946,1.4871116986120287,0.688797283341065,6.81582534890413,0.17151624628379022
ARM_SWING,1,13.0,15.0,33,0,0.11745933004608886,34.31313172823317,0.41999999999999993,115.21,0.9285848379818138,2.999999999999976,1.5286867625280651,0.5630024905341678,7.085674955486891,0.2692330033290859
ARM_SWING,1,15.0,17.0,34,0,0.076617505927385,29.00775286684722,0.30999999999999994,100.5,0.5367127116176176,1.8644067796609816,1.4886322627210409,0.5825848718045348,2.768938076837653,0.19399975728576158
ARM_SWING,1,17.0,19.0,34,0,0.0965678311901083,25.436767860118355,0.30999999999999994,89.34,0.7249909970541164,1.8644067796609836,1.4855942376950773,0.6030287708841452,4.729499261515744,0.24786739400540347
