model,activityLabel,recording,recordingGroup,target,windowAccuracy,meanWalkingProbability,predictedWalkingWindows,totalWindows,recordingPrediction,recordingCorrect
Enhanced ExtraTrees,ARM_SWING,04_small_swing,ARM_SWING__04_small_swing,0,1.0,0.00548768899006851,0,14,0,True
Enhanced ExtraTrees,ARM_SWING,05_large_swing,ARM_SWING__05_large_swing,0,0.42857142857142855,0.5720903001463349,8,14,1,False
Enhanced ExtraTrees,ARM_SWING,06_relaxed_swing,ARM_SWING__06_relaxed_swing,0,1.0,0.00344922814610958,0,14,0,True
Enhanced ExtraTrees,ARM_SWING,07_irregular_swing,ARM_SWING__07_irregular_swing,0,1.0,0.05968297987438279,0,14,0,True
Enhanced ExtraTrees,ARM_SWING,08_very_walking-like,ARM_SWING__08_very_walking-like,0,1.0,0.2032553673886011,0,14,0,True
Enhanced ExtraTrees,ARM_SWING,09_very_walking-like,ARM_SWING__09_very_walking-like,0,0.9285714285714286,0.06072664289180979,1,14,0,True
Enhanced ExtraTrees,ARM_SWING,10_very_walking-like,ARM_SWING__10_very_walking-like,0,1.0,0.010230670448143806,0,14,0,True
Enhanced ExtraTrees,ARM_SWING,11_walking_like_torso_bounce,ARM_SWING__11_walking_like_torso_bounce,0,1.0,0.0837716110605334,0,14,0,True
Enhanced ExtraTrees,ARM_SWING,12_walking_like_knee_bend,ARM_SWING__12_walking_like_knee_bend,0,0.8571428571428571,0.24507074319978112,2,14,0,True
Enhanced ExtraTrees,ARM_SWING,13_walking_like_weight_shift,ARM_SWING__13_walking_like_weight_shift,0,1.0,0.019081907331104347,0,14,0,True
Enhanced ExtraTrees,ARM_SWING,14_small_natural_swing,ARM_SWING__14_small_natural_swing,0,1.0,0.016125680735999588,0,14,0,True
Enhanced ExtraTrees,ARM_SWING,15_slow_cadence_02,ARM_SWING__15_slow_cadence_02,0,1.0,0.014402857334445449,0,14,0,True
Enhanced ExtraTrees,ARM_SWING,16_slow_cadence_03,ARM_SWING__16_slow_cadence_03,0,1.0,0.005004991827884718,0,14,0,True
Enhanced ExtraTrees,ARM_SWING,17_fast_cadence_02,ARM_SWING__17_fast_cadence_02,0,1.0,0.09491765011995991,0,14,0,True
Enhanced ExtraTrees,ARM_SWING,18_fast_cadence_03,ARM_SWING__18_fast_cadence_03,0,1.0,0.13948202519276148,0,14,0,True
Enhanced ExtraTrees,ARM_SWING,19_large_swing_02,ARM_SWING__19_large_swing_02,0,0.5,0.42681781340388036,7,14,0,True
Enhanced ExtraTrees,ARM_SWING,20_large_swing_03,ARM_SWING__20_large_swing_03,0,0.8571428571428571,0.25924902306906533,2,14,0,True
Enhanced ExtraTrees,WALKING,01_normal,WALKING__01_normal,1,1.0,0.9319544926726191,14,14,1,True
Enhanced ExtraTrees,WALKING,02_normal,WALKING__02_normal,1,1.0,0.9454583631211523,14,14,1,True
Enhanced ExtraTrees,WALKING,03_slow,WALKING__03_slow,1,0.8571428571428571,0.5968889163495655,12,14,1,True
Enhanced ExtraTrees,WALKING,04_fast,WALKING__04_fast,1,1.0,0.8949386957401518,14,14,1,True
Enhanced ExtraTrees,WALKING,05_short_arm_swings,WALKING__05_short_arm_swings,1,1.0,0.9901607203499506,14,14,1,True
Enhanced ExtraTrees,WALKING,06_large_arm_swings,WALKING__06_large_arm_swings,1,0.14285714285714285,0.3899607045687049,2,14,0,False
Enhanced ExtraTrees,WALKING,07_relaxed_arms,WALKING__07_relaxed_arms,1,1.0,0.9932400413908401,14,14,1,True
Enhanced ExtraTrees,WALKING,08_slightly_irregular_pace,WALKING__08_slightly_irregular_pace,1,1.0,0.9050778112213873,14,14,1,True
Enhanced ExtraTrees,WALKING,09_normal,WALKING__09_normal,1,1.0,0.9784188758074096,14,14,1,True
Enhanced ExtraTrees,WALKING,10_normal,WALKING__10_normal,1,1.0,0.9319956457412587,14,14,1,True
Enhanced ExtraTrees,WALKING,11_arm_held_still,WALKING__11_arm_held_still,1,1.0,0.9958728345622628,14,14,1,True
Enhanced ExtraTrees,WALKING,12_looking_at_phone,WALKING__12_looking_at_phone,1,1.0,0.9723892258728847,14,14,1,True
Enhanced ExtraTrees,WALKING,13_sensor_hand_in_pocket,WALKING__13_sensor_hand_in_pocket,1,1.0,0.9933581538118677,14,14,1,True
Enhanced ExtraTrees,WALKING,14_carrying_a_light_object,WALKING__14_carrying_a_light_object,1,1.0,0.9917555732531882,14,14,1,True
Enhanced ExtraTrees,WALKING,15_frequent_gentle_turns,WALKING__15_frequent_gentle_turns,1,1.0,0.9486646027676152,14,14,1,True
Enhanced ExtraTrees,WALKING,16_slow_02,WALKING__16_slow_02,1,1.0,0.8253217600094638,14,14,1,True
Enhanced ExtraTrees,WALKING,17_slow_03,WALKING__17_slow_03,1,0.8571428571428571,0.7497521051899401,12,14,1,True
Enhanced ExtraTrees,WALKING,18_fast_02,WALKING__18_fast_02,1,1.0,0.9672571379614239,14,14,1,True
Enhanced ExtraTrees,WALKING,19_fast_03,WALKING__19_fast_03,1,1.0,0.932703168897741,14,14,1,True
Enhanced ExtraTrees,WALKING,20_large_arm_swings_02,WALKING__20_large_arm_swings_02,1,0.8571428571428571,0.7544801508927313,12,14,1,True
Enhanced ExtraTrees,WALKING,21_large_arm_swings_03,WALKING__21_large_arm_swings_03,1,0.7857142857142857,0.6912493187269542,11,14,1,True
